Château / Entreprise,Nom du Contact,Email,Téléphone,Statut de la demande,Motif de refus,Membre de SDC,Catégorie,Apparaît dans la bible ? ,type de vins princiapl,Pôle concerné,Région,Poste,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ?,"Si oui, quel type ?"
Château la Haye,https://www.chateaulahaye.fr/en/contact/,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château la Rose Brana,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château la Bridane,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Château de Teste,,,,Non contacté,,Marin/ Quentin/Marine,Démarchage en nature,,,,,,,,,,,,,
Bastide Des Deux Lunes,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
1. Château BATAILLEY – Pauillac,,domaines@borie-manoux.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,deja connu ? on contact pas par mail si ? ,,,,,,,,,,
2. Château HAUT-BATAILLEY – Pauillac,,hlefranc@jmcazes.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
3. Château GRAND-PUY-LACOSTE – Pauillac,,dfxb@domainesfxborie.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
4. Château GRAND-PUY DUCASSE – Pauillac,, contact@cagrandscrus.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
,,,,,,,Démarchage en nature,Non contacté,,,,,,,,,,,,
6. Château LYNCH-MOUSSAS – Pauillac,,documentation@borie-manoux.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
7. Château DAUZAC – Margaux,,contact@chateaudauzac.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
8. Château d’ARMAILHAC – Pauillac,,webmaster@bpdr.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
9. Château du TERTRE – Margaux,,reservations@chateaudutertre.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
10. Château HAUT-BAGES LIBÉRAL – Pauillac,,boutique@hautbagesliberal.com ; infos@ferriere.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
,,,,,,,Démarchage en nature,Non contacté,,,,,,,,,,,,
12. Château BELGRAVE – Haut-Médoc,,accueil@arvitis.com ; à l'attention de Dourthe,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
13. Château de CAMENSAC – Haut-Médoc,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
14. Château COS LABORY – Saint-Estèphe,,contact@cos-labory.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
15. Château CLERC MILON – Pauillac,,caroline artaud cartaud@bphr.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
16. Château CROIZET-BAGES – Pauillac,,contact@domaines-quie.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
,,,,,,,Démarchage en nature,Non contacté,,,,,,,,,,,,
"18. Château d’Yquem, Sauternes, AOC Sauternes",,contact@yquem.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
19. Château LA TOUR BLANCHE – Sauternes,,tour-blanche@tour-blanche.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
20. Château LAFAURIE-PEYRAGUEY – Sauternes,,info@vignobles-silvio-denz.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
21. Clos HAUT-PEYRAGUEY – Sauternes,,accueil@pape-clément.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
22. Château de RAYNE VIGNEAU – Sauternes,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
,,,,,,,Démarchage en nature,Non contacté,,,,,,,,,,,,
Bastide Des Terres Blanches,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Benoit Chapelle,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Berli,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Bois Des Demoiselles,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
,,,,,,,Démarchage en nature,Non contacté,,,,,,,,,,,,
Castel Freres,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Castel Frères Béziers,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Castel Freres Blanquefort,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Castel Frères Saint Priest,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Castel Frères Thiais,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Chateau Suduiraut – Sauternes,,contact@suduiraut.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Coutet – Barsac,,info@chateaucoutet.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,Annelise: prends le relais contact direct ,,,,,,,,,,
Château Climens – Barsac,,contact@chateau-climens.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Guiraud – Sauternes,,accueil@chateauguiraud.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Rieussec – Sauternes,,rieussec@lafite.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Rabaud-Promis – Sauternes,,contact@rabaud-promis.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Sigalas Rabaud – Sauternes,,chateausigalasrabaud@gmail.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau de Myrat – Barsac,,myrat@chateaudemyrat.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Doisy Daëne – Barsac,,contact@denisdubourdieu.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Doisy-Dubroca – Barsac,,contact@denisdubourdieu.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Doisy-Védrines – Barsac,,doisy-vedrines@orange.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
,,,,,,,Démarchage en nature,Non contacté,,,,,,,,,,,,
Chateau Filhot – Sauternes,,filhot@filhot.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Broustet – Barsac,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Chateau Nairac,,contact@chateaunairac.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Caillou,,contact@chateaucaillou.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Suau,,contact@chateausuau.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau de Malle,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Chateau de Romer du Hayot,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
Chateau Romer,,vins@janoueixfrancois.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
,,,,,,,Démarchage en nature,,,,,,,,,,,,,
Chateau Lamothe-Guignard,,contact@chateau-lamothe-guignard.com; info@chateau-lamothe.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Langoa Barton,,chateau@barton-family-wines.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
,,,,,,,Démarchage en nature,Non contacté,,,,,,,,,,,,
Chateau Malescot Saint-Exupéry,,malescotstexupery@exupery.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Boyd-Cantenac,,administration@boyd-cantenac.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
,,,,,,,,Non contacté,,,,,,,,,,,,
Chateau Palmer,,dantenolleau@chateau-palmer.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau La Lagune,,contact@chateau-lalagune.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
,,,,,,,,Non contacté,,,,,,,,,,,,
Chateau Calon Ségur,,calon-segur@calon-segur.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Ferrière,,boutique@ferriere.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Marquis d'Alesme Becker,,contact@marquis.wine,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Saint-Pierre,,contact@chateausaintpierre.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Talbot,,talbot@chateau-talbot.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Branaire-Ducru,,branaire@branaire.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Duhart–Milon,,visites@lafitte.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
,,,,,,,,Non contacté,,,,,,,,,,,,
Chateau La Tour Carnet,,visite@latour-carnet.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Lafon-Rochet,,lafont@lafont-rochet.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Beychevelle,,beychevelle@beychevelle.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Prieuré-Lichine,,l.latrille@prieuré-lichine.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Marquis de Terme,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,Non contacté,,,,,,,,,,,,
,,,,,,,,Non contacté,,,,,,,,,,,,
Chateau Pontet-Canet,,info@pontet-canet.com,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Fonplégade,,chateaufonplegade@fonplegade.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
MDCV Châteaux et Vignobles en Provence,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Château les Mesclances,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Face B,,contact@vins-face-b.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Haut Bernasse,,chateau.hautbernasse@orange.fr,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Minuty,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
MAISON BRUNO ANDREU,,,,Défi de Bacchus,,Marin/ Quentin/Marine,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Champagne KRUG,,mboury@krug.fr,,Défi de Bacchus,,Angelo,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Domaine Lorenzon (Mercurey),,contact@domainelorenzon.com,,Défi de Bacchus,,Angelo,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Luca Roagna,,,,Défi de Bacchus,,Clément ,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Angelo Gaja,,,,Défi de Bacchus,,Clément ,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Masseto,,,,Défi de Bacchus,,Clément ,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Bodega Vega Sicilia ,,,,Défi de Bacchus,,Clément ,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Antinori ,,,,Défi de Bacchus,,Clément ,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Giuseppe Rinaldi ,,,,Défi de Bacchus,,Clément ,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
JJ Prüm,,,,Défi de Bacchus,,Clément ,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Marie Thérèse Chappaz ,,,,Défi de Bacchus,,Clément ,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Weingut Keller ,,,,Défi de Bacchus,,Clément ,Démarchage en nature,"Contacté, sans réponse",,,,,,,,,,,,
Chateau Coutet ,,,,,,Annelise,Démarchage en nature,,,,,,,,,,,,,
Des Tours,,,,,,Annelise,Démarchage en nature,,,,,,,,,,,,,
Billecart Salmon ,,,,,,Annelise,Démarchage en nature,,,,,,,,,,,,,
